0.440	0.840	24.666827	0.308816
0.442	0.985	24.303548	0.309069
0.444	1.129	23.951920	0.309304
0.446	1.272	23.611505	0.309521
0.448	1.413	23.281883	0.309722
0.450	1.554	22.962649	0.309907
0.452	1.693	22.653417	0.310076
0.454	1.832	22.353813	0.310230
0.456	1.969	22.063479	0.310370
0.458	2.105	21.782070	0.310496
0.460	2.241	21.509254	0.310608
0.462	2.375	21.244713	0.310708
0.464	2.508	20.988138	0.310795
0.466	2.640	20.739234	0.310870
0.468	2.770	20.497715	0.310934
0.470	2.900	20.263308	0.310987
0.472	3.029	20.035747	0.311030
0.474	3.156	19.814777	0.311063
0.476	3.283	19.600152	0.311086
0.478	3.408	19.391635	0.311101
0.480	3.533	19.188995	0.311107
0.482	3.656	18.992012	0.311105
0.484	3.778	18.800473	0.311096
0.486	3.899	18.614170	0.311080
0.488	4.019	18.432905	0.311057
0.490	4.138	18.256484	0.311029
0.492	4.256	18.084722	0.310994
0.494	4.373	17.917439	0.310955
0.496	4.488	17.754460	0.310910
0.498	4.603	17.595617	0.310862
0.500	4.717	17.440746	0.310809
0.502	4.829	17.289691	0.310753
0.504	4.940	17.142297	0.310694
0.506	5.051	16.998418	0.310632
0.508	5.160	16.857910	0.310568
0.510	5.268	16.720634	0.310501
0.512	5.375	16.586455	0.310434
0.514	5.481	16.455243	0.310365
0.516	5.586	16.326873	0.310295
0.518	5.689	16.201220	0.310225
0.520	5.792	16.078167	0.310154
0.522	5.894	15.957598	0.310084
0.524	5.994	15.839402	0.310015
0.526	6.093	15.723470	0.309946
0.528	6.192	15.609697	0.309879
0.530	6.289	15.497981	0.309813
0.532	6.385	15.388223	0.309749
0.534	6.480	15.280327	0.309688
0.536	6.574	15.174199	0.309629
0.538	6.667	15.069750	0.309573
0.540	6.759	14.966891	0.309520
0.542	6.850	14.865537	0.309470
0.544	6.939	14.765606	0.309424
0.546	7.028	14.667017	0.309382
0.548	7.115	14.569693	0.309345
0.550	7.202	14.473557	0.309312
0.552	7.287	14.378537	0.309284
0.554	7.371	14.284562	0.309260
0.556	7.455	14.191562	0.309243
0.558	7.537	14.099472	0.309231
0.560	7.618	14.008225	0.309224
0.562	7.698	13.917760	0.309224
0.564	7.776	13.828015	0.309230
0.566	7.854	13.738931	0.309243
0.568	7.931	13.650453	0.309262
0.570	8.006	13.562523	0.309289
0.572	8.081	13.475090	0.309323
0.574	8.154	13.388101	0.309364
0.576	8.227	13.301507	0.309413
0.578	8.298	13.215259	0.309470
0.580	8.368	13.129311	0.309535
0.582	8.437	13.043618	0.309609
0.584	8.505	12.958137	0.309691
0.586	8.572	12.872825	0.309782
0.588	8.638	12.787644	0.309882
0.590	8.703	12.702555	0.309991
0.592	8.766	12.617520	0.310109
0.594	8.829	12.532505	0.310237
0.596	8.890	12.447474	0.310374
0.598	8.951	12.362397	0.310522
0.600	9.010	12.277240	0.310679
0.602	9.068	12.191976	0.310847
0.604	9.125	12.106576	0.311026
0.606	9.181	12.021012	0.311215
0.608	9.236	11.935260	0.311415
0.610	9.290	11.849296	0.311625
0.612	9.343	11.763096	0.311847
0.614	9.395	11.676639	0.312081
0.616	9.446	11.589905	0.312326
0.618	9.495	11.502876	0.312582
0.620	9.544	11.415533	0.312851
0.622	9.591	11.327861	0.313131
0.624	9.637	11.239845	0.313424
0.626	9.683	11.151470	0.313729
0.628	9.727	11.062725	0.314046
0.630	9.770	10.973597	0.314376
0.632	9.812	10.884078	0.314719
0.634	9.853	10.794157	0.315075
0.636	9.892	10.703828	0.315444
0.638	9.931	10.613083	0.315826
0.640	9.969	10.521917	0.316222
0.642	10.005	10.430326	0.316631
0.644	10.041	10.338306	0.317054
0.646	10.075	10.245855	0.317491
0.648	10.109	10.152972	0.317942
0.650	10.141	10.059658	0.318407
0.652	10.172	9.965912	0.318887
0.654	10.202	9.871737	0.319381
0.656	10.231	9.777137	0.319889
0.658	10.259	9.682114	0.320413
0.660	10.286	9.586674	0.320951
0.662	10.312	9.490823	0.321505
0.664	10.336	9.394568	0.322074
0.666	10.360	9.297916	0.322658
0.668	10.382	9.200876	0.323258
0.670	10.404	9.103458	0.323873
0.672	10.424	9.005672	0.324505
0.674	10.443	8.907528	0.325152
0.676	10.461	8.809040	0.325815
0.678	10.478	8.710219	0.326495
0.680	10.494	8.611080	0.327192
0.682	10.509	8.511637	0.327905
0.684	10.523	8.411904	0.328634
0.686	10.536	8.311898	0.329381
0.688	10.547	8.211635	0.330145
0.690	10.558	8.111132	0.330926
0.692	10.567	8.010406	0.331724
0.694	10.576	7.909476	0.332540
0.696	10.583	7.808362	0.333373
0.698	10.589	7.707081	0.334225
0.700	10.594	7.605655	0.335094
0.702	10.599	7.504104	0.335981
0.704	10.602	7.402449	0.336887
0.706	10.603	7.300712	0.337812
0.708	10.604	7.198913	0.338755
0.710	10.604	7.097077	0.339716
0.712	10.603	6.995225	0.340697
0.714	10.600	6.893380	0.341697
0.716	10.597	6.791567	0.342716
0.718	10.592	6.689808	0.343754
0.720	10.586	6.588128	0.344813
0.722	10.580	6.486552	0.345890
0.724	10.572	6.385103	0.346988
0.726	10.563	6.283807	0.348106
0.728	10.553	6.182689	0.349244
0.730	10.542	6.081773	0.350403
0.732	10.529	5.981086	0.351582
0.734	10.516	5.880651	0.352782
0.736	10.502	5.780496	0.354002
0.738	10.486	5.680646	0.355244
0.740	10.470	5.581125	0.356507
0.742	10.452	5.481961	0.357792
0.744	10.433	5.383177	0.359098
0.746	10.414	5.284801	0.360426
0.748	10.393	5.186857	0.361776
0.750	10.371	5.089371	0.363148
0.752	10.348	4.992369	0.364542
0.754	10.324	4.895875	0.365959
